date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;28;68;100.0;7;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;28;68;100.0;6;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;28;68;100.0;5;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;28;68;100.0;4;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;28;68;100.0;3;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;28;68;100.0;2;107.97
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;30;68;100.0;7;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;30;68;100.0;6;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;30;68;100.0;5;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;30;68;100.0;4;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;30;68;100.0;3;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;50;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;75;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;100;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;125;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;150;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;175;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;200;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;225;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.0;250;30;68;100.0;2;110.95
2023-12-27 18:09:55;XMRUSDT;1h;1.5;50;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;75;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;100;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;125;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;150;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;175;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;200;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;225;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;250;28;68;100.0;7;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;50;28;68;100.0;6;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;75;28;68;100.0;6;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;100;28;68;100.0;6;111.51
2023-12-27 18:09:55;XMRUSDT;1h;1.5;125;28;68;100.0;6;111.51
