date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;50;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;75;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;100;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;125;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;150;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;175;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;200;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;225;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;250;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;50;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;75;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;100;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;125;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;150;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;175;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;200;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;225;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;250;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;52;68;100.0;1;99.79
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;60;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;60;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;60;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;60;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;60;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;60;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;60;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;58;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;58;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;58;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;58;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;58;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;58;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;58;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;56;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;56;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;56;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;56;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;56;68;100.0;3;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;56;68;100.0;2;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;56;68;100.0;1;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;75;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;100;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;125;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;150;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;175;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;200;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;225;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;250;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;54;68;100.0;7;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;75;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;100;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;125;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;150;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;175;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;200;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;225;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;250;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;54;68;100.0;6;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;75;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;100;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;125;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;150;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;175;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;200;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;225;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;225;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;250;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;250;54;68;100.0;5;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;50;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;75;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;75;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;100;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;100;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;125;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;125;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;150;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;150;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;175;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;175;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;200;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;5.0;200;54;68;100.0;4;100.0
2024-01-02 21:01:41;DOGEUSDT;1h;4.5;225;54;68;100.0;4;100.0
